Chip,Hour,Droplet,Bacteria Count
C5,00h,00001-00063.roi,0.0
C5,00h,00002-00016.roi,0.0
C5,00h,00003-00277.roi,0.0
C5,00h,00004-00138.roi,0.0
C5,00h,00005-00046.roi,0.0
C5,00h,00006-00314.roi,0.0
C5,00h,00007-00106.roi,0.0
C5,00h,00008-00402.roi,641.0
C5,00h,00009-00027.roi,0.0
C5,00h,00010-00219.roi,562.0
C5,00h,00011-00527.roi,2005.0
C5,00h,00012-00056.roi,0.0
C5,00h,00013-00071.roi,0.0
C5,00h,00014-00013.roi,0.0
C5,00h,00015-00041.roi,0.0
C5,00h,00016-00399.roi,1637.0
C5,00h,00017-00367.roi,1134.0
C5,00h,00018-00022.roi,0.0
C5,00h,00019-00060.roi,0.0
C5,00h,00020-00188.roi,467.0
C5,00h,00021-00056.roi,0.0
C5,00h,00022-00452.roi,2145.0
C5,00h,00023-00076.roi,0.0
C5,00h,00024-00028.roi,0.0
C5,00h,00025-00362.roi,2093.0
C5,00h,00026-00021.roi,0.0
C5,00h,00027-00058.roi,0.0
C5,00h,00028-00179.roi,206.0
C5,00h,00029-00044.roi,0.0
C5,00h,00030-00094.roi,0.0
C5,00h,00031-00445.roi,1077.0
C5,00h,00032-00098.roi,0.0
C5,00h,00033-00100.roi,0.0
C5,00h,00034-00134.roi,0.0
C5,00h,00035-00303.roi,39.0
C5,00h,00036-00229.roi,0.0
C5,00h,00037-00224.roi,23.0
C5,00h,00038-00174.roi,0.0
C5,00h,00039-00232.roi,0.0
C5,00h,00040-00212.roi,0.0
C5,00h,00041-00189.roi,0.0
C5,00h,00042-00247.roi,0.0
C5,00h,00043-00209.roi,0.0
C5,00h,00044-00250.roi,0.0
C5,00h,00045-00286.roi,0.0
C5,00h,00046-00258.roi,0.0
C5,00h,00047-00312.roi,46.0
C5,00h,00048-00243.roi,0.0
C5,00h,00049-00343.roi,0.0
C5,00h,00050-00497.roi,404.0
C5,00h,00051-00236.roi,0.0
C5,00h,00052-00304.roi,0.0
C5,00h,00053-00372.roi,0.0
C5,00h,00054-00279.roi,0.0
C5,00h,00055-00306.roi,0.0
